CAM_ID,Species,Date,Time,Latitude,Longitude,,,,,,,,,,,,,
A9,Hanuman Langur,07-05-2024,16:12:33,28.44969,77.24522,,,,,,,,,,,,,
A9,Hanuman Langur,09-05-2024,06:56:01,28.44969,77.24522,,,,,,,,,,,,,
A9,Hanuman Langur,09-05-2024,13:48:24,28.44969,77.24522,,,,,,,,,,,,,
A9,Hanuman Langur,15-05-2024,14:19:42,28.44969,77.24522,,,,,,,,,,,,,
A9,Hanuman Langur,17-05-2024,07:33:55,28.44969,77.24522,,,,,,,,,,,,,
A9,Hanuman Langur,18-05-2024,13:27:14,28.44969,77.24522,,,,,,,,,,,,,
A9,Hanuman Langur,20-05-2024,14:49:58,28.44969,77.24522,,,,,,,,,,,,,
A9,Hanuman Langur,24-05-2024,15:22:31,28.44969,77.24522,,,,,,,,,,,,,
A01,Hanuman Langur,25-05-2024,16:12:33,28.44228,77.23447,,,,,,,,,,,,,
A01,Hanuman Langur,26-05-2024,06:56:01,28.44228,77.23447,,,,,,,,,,,,,
A01,Hanuman Langur,27-05-2024,13:48:24,28.44228,77.23447,,,,,,,,,,,,,
A01,Hanuman Langur,28-05-2024,14:19:42,28.44228,77.23447,,,,,,,,,,,,,
A01,Hanuman Langur,29-05-2024,07:33:55,28.44228,77.23447,,,,,,,,,,,,,
A07,Hanuman Langur,30-05-2024,13:27:14,28.44955,77.22835,,,,,,,,,,,,,
A07,Hanuman Langur,31-05-2024,14:49:58,28.44955,77.22835,,,,,,,,,,,,,
A07,Hanuman Langur,01-06-2024,15:22:31,28.44955,77.22835,,,,,,,,,,,,,
A07,Hanuman Langur,02-06-2024,16:22:31,28.44955,77.22835,,,,,,,,,,,,,
